"date_time","filename","sampling_rate","bit","duration","channels","index","fft_w","min_freq","max_freq","j","left_channel","right_channel","aru","year","month","day","hour","min","second","date","time","obs_time","temperature","humidity","pressure","windspeed","winddir","emissivity","cloudcover","netlong","uplong","downlong","rad_dni","rad_dif","szenith","timezone","relh"
2021-05-16 05:00:00,"20210516_050000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1815.16515148082,"NA ","aru01","2021","05","16","05","00","00","2021-05-16","05:00:00",2021-05-16 10:00:00,16.46,0.0130963902176676,90773.6924653197,6.1549536930383,165.1056450862,0.849069623830612,40.2188146705161,0.205958554747736,1.43721777949037,1.23125922474264,0,0,110.91004961037,"UTC",100
2021-05-16 06:00:00,"20210516_060000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1813.62667869739,"NA ","aru01","2021","05","16","06","00","00","2021-05-16","06:00:00",2021-05-16 11:00:00,16.5057171170925,0.0129935817244207,90723.5861462437,5.820796920715,167.013448956458,0.851967241335646,45.5394321801056,0.203515551573131,1.43812549694902,1.23460994537589,0,0,100.739825628373,"UTC",100
2021-05-16 07:00:00,"20210516_070000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1817.39266801856,"NA ","aru01","2021","05","16","07","00","00","2021-05-16","07:00:00",2021-05-16 12:00:00,18.630888625657,0.012996,90681,5.59039992156646,168.659994752741,0.854572344096623,51.5798572483085,0.20706006256631,1.48079772002414,1.27373765745783,0,0.00518657447186936,89.5594341385456,"UTC",90.3588462902216
2021-05-16 08:00:00,"20210516_080000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1815.53077475232,"NA ","aru01","2021","05","16","08","00","00","2021-05-16","08:00:00",2021-05-16 13:00:00,19.2678407371775,0.0131191073741855,90651.4671238458,5.50036647878371,169.696517899309,0.856696349233331,57.8580925946651,0.206170944280305,1.49377033393968,1.28759938965938,0.0524958703908441,0.502176058782623,77.7609311030545,"UTC",87.6179301798895
2021-05-16 09:00:00,"20210516_090000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1815.12818076763,"NA ","aru01","2021","05","16","09","00","00","2021-05-16","09:00:00",2021-05-16 14:00:00,20.1550703955702,0.0133394371200945,90632.3891100779,5.50959354174945,169.899281730715,0.858485541070728,63.8921409387156,0.205411465086677,1.51198209967297,1.30657063458629,0.117022414789986,0.958414600476108,65.6296211249674,"UTC",84.2797164260275
2021-05-16 10:00:00,"20210516_100000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1816.12429698809,"NA ","aru01","2021","05","16","10","00","00","2021-05-16","10:00:00",2021-05-16 15:00:00,21.2354905707743,0.0136237902466787,90619.1346747527,5.56043765253801,169.165365834184,0.860169920735065,69.200005,0.204235370469479,1.5343836807066,1.33014831023712,0.257870390440555,1.31221006801132,53.4201249190905,"UTC",80.5007476361714
2021-05-16 11:00:00,"20210516_110000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1817.12887185392,"NA ","aru01","2021","05","16","11","00","00","2021-05-16","11:00:00",2021-05-16 16:00:00,22.4238562929879,0.01393896776289,90607.072533927,5.59982538523352,167.424032817013,0.861979489352592,73.3473473511888,0.20226251535237,1.55930990553125,1.35704739017888,0.540321115859832,1.46758988823311,41.4592410978047,"UTC",76.56610064916
2021-05-16 12:00:00,"20210516_120000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1816.08199327392,"NA ","aru01","2021","05","16","12","00","00","2021-05-16","12:00:00",2021-05-16 17:00:00,23.6143627585253,0.0142517706776798,90591.5714036572,5.58088754855503,164.547075739813,0.86414424804956,76.0904699774734,0.200145297632959,1.58458432269327,1.38443902506031,1.0487037261659,1.29673856399591,30.3872713457671,"UTC",72.8111906208675
2021-05-17 05:00:00,"20210517_050000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1815.43609077145,"NA ","aru01","2021","05","17","05","00","00","2021-05-17","05:00:00",2021-05-17 10:00:00,16.1027428456472,0.0124499149761112,90509.662231405,3.39958380167917,143.641174929488,0.831183907209197,24.0268077895723,0.233431431123695,1.43013919752358,1.19670776639989,0,0,110.690743708371,"UTC",100
2021-05-17 06:00:00,"20210517_060000.WAV",48000,16,120,1,"acoustic_complexity",512,1,12000,5,1816.93840711685,"NA ","aru01","2021","05","17","06","00","00","2021-05-17","06:00:00",2021-05-17 11:00:00,16.06002,0.0123876948873226,90471.4314237632,2.93213862232719,146.69344562862,0.836145252989749,22.0906080043509,0.240964492442769,1.42929445420003,1.18832996175726,0,0,100.546625952015,"UTC",100
